Frequency,MonetaryTotal,MonetaryAvg,MonetaryStd,AvgQuantityPerTransaction,FirstPurchaseDaysAgo,PreferredDayOfWeek,PreferredHour,PreferredMonth,WeekendPurchaseRatio,AvgDaysBetweenPurchases,UniqueProducts,AvgProductsPerTransaction,UniqueCountries,NegativeQuantityCount,AgeCategory,PreferredTimeOfDay,BasketSizeCategory,Country,Churn,RegYear,RegMonth,RegDay,RegWeekday,IsPrivateIP,AvgBasketValue,FavoriteSeason_Automne,FavoriteSeason_Hiver,FavoriteSeason_Printemps,FavoriteSeason_Été,Region_Afrique,Region_Amérique du Nord,Region_Amérique du Sud,Region_Asie,Region_Autre,Region_Europe centrale,Region_Europe continentale,Region_Europe de l'Est,Region_Europe du Nord,Region_Europe du Sud,Region_Moyen-Orient,Region_Océanie,Region_UK,WeekendPreference_Inconnu,WeekendPreference_Semaine,WeekendPreference_Weekend,ProductDiversity_Explorateur,ProductDiversity_Modéré,ProductDiversity_Spécialisé,Gender_F,Gender_M,Gender_Unknown
35,5288.630000000001,16.950737179487184,13.603661689116102,5.426282051282051,374,3,9,12,0.0,0.2218649517684887,24,0.6857142857142857,1,15,6.0,0.0,1.0,United Kingdom,1,2010,7,17,5,0,151.10371428571432,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,True
18,3079.1,15.70969387755102,11.6847688239824,6.913265306122449,374,2,13,10,0.1683673469387755,1.7179487179487178,106,5.888888888888889,1,24,6.0,1.0,1.0,United Kingdom,0,2010,4,10,5,0,171.0611111111111,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False
18,7187.34,28.634820717131475,23.15013187581723,19.95617529880478,374,4,12,11,0.0557768924302788,1.456,115,6.388888888888889,1,4,3.0,1.0,2.0,France,0,2009,9,12,5,0,399.2966666666667,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True
5,948.25,33.86607142857142,42.95311926234322,15.678571428571429,374,0,9,9,0.0,10.25925925925926,24,4.8,1,0,1.0,0.0,2.0,United Kingdom,1,2010,1,28,3,1,189.65,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,True
6,635.1,105.85,215.9862634521001,9.666666666666666,374,2,9,12,0.0,8.2,1,0.1666666666666666,1,3,6.0,0.0,1.0,United Kingdom,1,2009,10,12,0,0,105.85000000000001,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,True,False
20,4596.51,42.16981651376147,49.09086065619568,19.027522935779817,374,2,16,1,0.1651376146788991,3.1481481481481484,63,3.15,1,6,1.0,2.0,2.0,United Kingdom,0,2010,10,18,0,0,229.8255,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False
27,5107.38,14.226685236768802,23.64446978200517,8.974930362116991,374,1,12,12,0.0,0.9972067039106144,148,5.481481481481482,1,32,5.0,1.0,1.0,United Kingdom,0,2010,11,2,1,0,189.16222222222223,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,True
15,4627.62,72.3065625,142.20644033836976,31.484375,374,4,15,10,0.0,5.587301587301587,47,3.1333333333333333,1,3,2.0,2.0,2.0,United Kingdom,0,2010,12,17,4,0,308.508,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,True,False,False
118,59419.34,23.85360899237254,46.625077317700935,15.14251304696909,374,1,13,1,0.0397430750702529,0.1285140562248996,571,4.838983050847458,1,112,6.0,1.0,2.0,United Kingdom,0,2010,9,23,3,0,503.5537288135593,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False
86,7711.38,7.627477744807122,9.759291387411546,2.026706231454006,374,2,12,12,0.049455984174085,0.3336633663366337,331,3.8488372093023258,1,39,5.0,1.0,0.0,United Kingdom,0,2010,9,4,5,0,89.66720930232559,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False
7,2005.63,29.934776119402983,35.43095185809055,9.149253731343284,374,1,9,9,0.0,4.2727272727272725,34,4.857142857142857,1,0,2.0,0.0,1.0,United Kingdom,0,2010,12,27,0,0,286.5185714285714,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,True,False,False
1,489.6,37.66153846153846,28.254373952290948,14.615384615384617,374,2,9,12,0.0,0.0,13,13.0,1,0,2.0,0.0,1.0,United Kingdom,1,2010,2,10,2,0,489.6,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,True
3,598.83,19.961,5.365604603268926,8.833333333333334,374,1,15,6,0.0,11.10344827586207,28,9.333333333333334,1,0,1.0,2.0,1.0,United Kingdom,0,2010,9,17,4,0,199.61,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,True
76,50992.61,186.1044160583941,933.7723490590412,117.32846715328468,374,1,11,10,0.0,1.1465201465201464,46,0.6052631578947368,1,32,6.0,0.0,2.0,United Kingdom,0,2010,9,28,1,0,670.9553947368421,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,True
2,389.44,16.226666666666667,4.731409999113387,8.666666666666666,374,2,9,12,0.0,4.869565217391305,22,11.0,1,0,6.0,0.0,1.0,United Kingdom,1,2010,11,25,3,0,194.72,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,True,False
18,6416.389999999999,26.73495833333333,50.20159874263217,11.95,374,3,14,10,0.125,1.3849372384937235,163,9.055555555555555,2,4,5.0,2.0,1.0,Australia,0,2010,9,12,6,0,356.4661111111111,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False
46,88125.38,81.90091078066915,87.97828932242282,58.561338289962826,374,2,11,12,0.0,0.3255813953488372,467,10.152173913043478,1,113,3.0,0.0,2.0,United Kingdom,0,2010,9,19,6,0,1915.7691304347827,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,True,False,False
3,-141.48,-8.32235294117647,21.79515184892381,-7.764705882352941,374,2,10,12,0.0,9.6875,12,4.0,1,12,6.0,0.0,0.0,United Kingdom,1,2010,7,28,2,0,-47.16,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,True,False,False
3,711.86,25.423571428571428,29.77312934874216,12.964285714285714,374,0,9,12,0.0,13.51851851851852,25,8.333333333333334,1,0,2.0,0.0,1.0,United Kingdom,0,2010,10,24,6,0,237.28666666666666,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,True,False
